Año;Mes;Total (unidades);Colcha;Cubrecama;Frazada;Funda;Juego de Sabana;Juego de Toalla;Manta;Mantel;Sabana;Toalla;;Total Tejidos (Kg);
2021;May;264.911;13.093;1.109;1.938;13.189;185.784;5.078;2;41;19.073;25.604;;164.708;
2021;Jun;331.024;2;832;1.418;50.592;209.914;23.319;0;6.281;20.209;18.457;;211.805;
2021;Jul;347.256;13.449;964;0;28.856;243.422;15.174;0;0;11.264;34.127;;240.585;
2021;Ago;315.447;2.772;320;0;16.467;217.202;5.968;0;13;16.659;56.046;;213.553;
2021;Sep;330.988;478;0;12;74.540;160.880;16.457;0;8.742;24.822;45.057;;100.933;
2021;Oct;306.485;88;0;5;18.932;186.934;7.376;0;14.333;20.539;58.278;;253.739;
2021;Nov;345.938;0;0;0;1.670;240.829;6.406;2;175;10.928;85.928;;318.507;
2021;Dic;112.863;0;0;12;14.866;67.491;4.033;0;0;18.719;7.742;;318.061;
2022;Ene ;288.223;26.149;0;4.968;21.230;172.673;2.468;0;1.930;14.589;44.216;;263.607;
2022;Feb ;331.147;31.193;395;32.574;21.496;191.963;10.800;0;30;13.916;28.780;;164.743;
2022;Mar ;382.647;48.100;0;36.056;26.207;224.805;6.276;0;0;16.406;24.797;;194.058;
2022;Apr ;399.137;28.174;0;9.602;28.819;257.208;7.962;0;0;20.697;46.675;;187.531;
2022;May ;353.736;24.721;0;68;23.438;231.123;6.138;501;102;30.293;37.352;;224.023;
2022;Jun ;376.551;539;882;373;24.370;252.596;3.618;4.200;142;14.425;75.406;;152.551;
2022;Jul ;399.922;0;1.320;3.321;35.636;224.824;3.861;1.685;0;45.735;83.540;;237.099;
2022;Ago ;471.066;280;355;4.212;39.158;232.812;12.028;0;20;40.367;141.834;;254.446;
2022;Sep ;401.088;0;0;3.468;27.193;211.968;5.394;3.048;0;13.265;136.752;;185.958;
2022;Oct ;219.067;39;502;936;10.791;114.511;4.149;0;6.382;10.465;71.292;;66.453;
2022;Nov ;284.469;0;405;1.392;6.129;164.893;6.671;0;1.498;15.727;87.754;;217.588;
2022;Dic ;174.207;100;0;986;1.159;122.917;207;0;0;18.024;30.814;;191.038;
2023;Ene ;223.046;11.479;37;7.212;124;149.700;845;0;0;25.851;27.798;;225.939;
2023;Feb ;324.594;33.804;341;14.803;15.605;165.186;2.844;0;81;29.141;62.789;;182.851;
2023;Mar ;416.292;32.461;0;20.319;32.367;220.363;3.936;0;0;32.405;74.441;;221.913;
2023;Apr ;381.151;18.853;0;16.700;20.464;213.493;10.313;98;0;17.790;83.440;;131.740;
2023;May ;461.187;0;18;13.865;56.026;240.788;13.508;1;7;29.264;107.710;;146.396;
2023;Jun ;382.372;5.895;0;158;36.136;207.093;11.686;0;11;32.603;88.790;;134.446;
2023;Jul ;407.583;199;3.683;0;37.585;252.454;4.823;0;1;30.731;78.107;;153.680;
2023;Ago ;470.383;322;289;0;45.543;255.496;3.304;0;30;31.601;133.798;;181.054;
2023;Sep;420.900;0;22;18;26.409;212.365;10.480;0;2;30.003;141.601;;169.271;
2023;Oct;189.330;0;0;40;36.374;111.402;0;0;3.705;11.644;26.165;;141.798;
2023;Nov;397.053;50;0;2.888;13.411;240.620;2.352;4;0;19.969;117.759;;116.661;
2023;Dic;189.649;0;0;5.340;25.408;99.490;5.358;0;120;14.863;39.070;;22.545;
2024;Ene;259.846;0;1.260;23.056;9.636;133.146;6.629;0;0;25.706;60.413;;34.948;
2024;Feb;282.076;321;2.736;30.306;2.636;176.534;4.356;33;0;23.735;41.419;;46.150;
2024;Mar;272.649;41.364;444;23.338;3.023;142.444;32;0;0;15.719;46.285;;34.104;
2024;Abr;211.216;29.515;0;11.076;13.269;124.980;6.518;0;0;6.041;19.817;;37.064;
2024;May;364.790;14.086;0;2.229;16.392;227.121;12;4;0;37.989;66.957;;126.875;
2024;Jun;214.032;10.517;3;11;3.028;161.626;2.138;0;0;7.489;29.220;;70.794;
2024;Jul;256.050;11.375;0;414;19.015;156.351;2.865;0;0;30.335;35.695;;149.694;
2024;Ago;261.809;10.670;855;0;19.096;159.729;4.493;0;10;16.617;50.339;;73.925;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
