Año ;Mes;Total;Confeccionistas;Electrónicas;Plásticas;Textiles;Pesqueras;Mecánica;Otras
2016;noviembre;56;6;28;7;8;3;1;3
2016;diciembre;56;6;28;7;8;3;1;3
2017;enero;55;6;27;7;8;3;1;3
2017;febrero;56;6;28;7;8;3;1;3
2017;marzo;56;6;28;7;8;3;1;3
2017;abril;56;6;28;7;8;3;1;3
2017;mayo;56;6;28;7;8;3;1;3
2017;junio;56;6;28;7;8;3;1;3
2017;julio;55;6;27;7;8;3;1;3
2017;agosto;56;6;28;7;8;3;1;3
2017;septiembre;56;6;28;7;8;3;1;3
2017;octubre;55;6;27;7;8;3;1;3
2017;noviembre;55;6;27;7;8;3;1;3
2017;diciembre;55;6;27;7;8;3;1;3
2018;enero;55;6;27;7;8;3;1;3
2018;febrero;55;6;27;7;8;3;1;3
2018;marzo;55;6;27;7;8;3;1;3
2018;abril;54;6;26;7;8;3;1;3
2018;mayo;56;6;28;7;8;3;1;3
2018;junio;53;6;26;7;8;3;1;2
2018;julio;53;6;26;7;8;3;1;2
2018;agosto;52;5;26;7;8;3;1;2
2018;septiembre;51;5;25;7;8;3;1;2
2018;octubre;51;5;25;7;8;3;1;2
2018;noviembre;51;5;25;7;8;3;1;2
2018;diciembre;51;5;25;7;8;3;1;2
2019;enero;50;4;25;7;8;3;1;2
2019;febrero;51;5;25;7;8;3;1;2
2019;marzo;50;5;24;7;8;3;1;2
2019;abril;50;5;24;7;8;3;1;2
2019;mayo;49;4;24;7;8;3;1;2
2019;junio;49;4;24;7;8;3;1;2
2019;julio;50;5;24;7;8;3;1;2
2019;agosto;50;5;24;7;8;3;1;2
2019;septiembre;49;4;24;7;8;3;1;2
2019;octubre;50;5;24;7;8;3;1;2
2019;noviembre;50;5;24;7;8;3;1;2
2019;diciembre;50;5;24;7;8;3;1;2
2020;enero;50;5;24;7;8;3;1;2
2020;febrero;49;5;23;7;8;3;1;2
2020;marzo;49;5;23;7;8;3;1;2
2020;abril;49;5;23;7;8;3;1;2
2020;mayo;49;5;23;7;8;3;1;2
2020;junio;49;5;23;7;8;3;1;2
2020;julio;50;5;24;7;8;3;1;2
2020;agosto;50;5;24;7;8;3;1;2
2020;septiembre;50;5;24;7;8;3;1;2
2020;octubre;50;5;24;7;8;3;1;2
2020;noviembre;49;5;23;7;8;3;1;2
2020;diciembre;48;4;23;7;8;3;1;2
2021;enero;49;5;23;7;8;3;1;2
2021;febrero;48;5;22;7;8;3;1;2
2021;marzo;49;5;23;7;8;3;1;2
2021;abril;49;5;23;7;8;3;1;2
