Año;Mes; Total (Kg);Compuesto de PVC (Kg);Film y bolsas de polietileno (Kg);Total (Unidades);Abrazadera Plástica;Bombas pulverizadoras y/o dispensadoras;Envases Plásticos;Preformas de PET;Tapas;Tapas plásticas
2022;Feb ;11.093.023;1.725.740;9.367.283;213.551.597;0;0;61.534.254;151.718.628;110.600;188.115
2022;Mar ;12.671.241;1.817.025;10.854.216;238.498.778;3.000;1.400;68.755.158;169.705.920;0;33.300
2022;Apr ;12.157.482;1.907.184;10.250.298;215.662.804;0;0;48.416.892;166.855.912;0;390.000
2022;May ;13.654.906;2.006.277;11.648.629;220.228.337;0;0;47.830.148;172.108.689;0;289.500
2022;Jun ;13.912.217;2.209.944;11.702.273;208.733.912;0;0;46.134.584;162.222.328;0;377.000
2022;Jul ;12.901.168;2.036.399;10.864.769;217.634.711;0;0;51.563.792;165.210.919;0;860.000
2022;Ago ;12.926.202;2.283.955;10.642.247;224.626.295;0;0;56.268.700;167.862.595;0;495.000
2022;Sep ;11.661.038;2.266.312;9.394.726;219.072.620;3.000;1.400;39.909.651;178.422.769;6.000;729.800
2022;Oct ;10.873.434;2.120.853;8.752.581;228.381.693;0;0;48.827.408;178.998.285;0;556.000
2022;Nov ;10.558.978;2.485.984;8.072.994;223.814.942;0;0;48.605.848;174.584.094;0;625.000
2022;Dic ;9.189.222;1.610.699;7.578.523;217.129.386;0;0;45.535.752;171.268.634;0;325.000
2023;Ene ;12.430.469;1.645.363;10.785.106;233.846.133;0;0;50.055.480;183.760.653;0;30.000
2023;Feb ;13.000.475;2.132.101;10.868.374;220.239.844;0;0;53.325.430;166.644.414;0;270.000
2023;Mar ;14.659.155;2.789.215;11.869.940;221.707.658;1.000;600;51.426.563;169.903.495;500;375.500
2023;Apr ;13.767.330;2.281.188;11.486.142;227.273.061;0;0;56.459.368;170.631.693;0;182.000
2023;May ;12.906.765;1.700.282;11.206.483;219.792.389;0;7.668;48.563.233;171.149.988;5.500;66.000
2023;Jun ;12.967.063;1.677.404;11.289.659;185.778.769;0;29.148;41.924.128;143.674.493;0;151.000
2023;Jul ;13.578.746;2.197.371;11.381.375;180.779.156;0;0;39.296.568;141.058.588;0;424.000
2023;Ago ;15.129.559;2.705.142;12.424.417;177.598.232;0;0;28.232.922;149.065.310;0;300.000
2023;Sep;14.416.724;2.636.928;11.779.796;173.397.760;1.000;600;34.003.626;139.130.934;500;261.100
2023;Oct;15.482.008;2.797.474;12.684.534;208.324.489;0;0;37.580.608;170.393.881;0;350.000
2023;Nov;14.690.044;2.778.080;11.911.964;196.815.974;0;0;28.916.002;167.454.972;0;445.000
2023;Dic;11.231.540;2.459.391;8.772.149;220.484.853;0;0;45.489.912;174.794.941;0;200.000
2024;Ene;10.952.409;1.078.146;9.874.263;215.937.383;0;0;47.174.832;168.762.551;0;0
2024;Feb;2.088.824;1.093.227;995.597;188.008.597;0;0;34.180.888;153.591.209;2.500;234.000
2024;Mar;12.710.487;639.039;12.071.448;187.463.914;1.000;500;28.375.259;158.903.155;0;184.000
2024;Abr;11.942.036;550.079;11.391.957;136.589.804;0;0;14.075.088;122.334.716;;180.000
2024;May;11.606.908;847.583;10.759.325;102.022.507;0;0;18.789.328;82.862.679;184.500;186.000
2024;Jun;10.299.237;749.799;9.549.438;107.514.856;0;0;11.515.568;95.449.288;0;550.000
2024;Jul;10.934.814;1.671.177;9.263.637;126.325.893;0;0;28.269.692;97.956.201;0;100.000
2024;Ago;11.934.099;1.872.853;10.061.246;176.901.887;0;500;28.428.176;148.269.211;144.000;60.000
;;;;;;;;;;;
;;;;;;;;;;;
