Año;Mes; Total (unidades);Acondicionador de Aire;Afeitadora Eléctrica;Aspiradora;Autorradio;Cámara Fotográfica Digital;Computadora Portátil;Decodificador de Video;Depiladora Eléctrica;Equipo de Radiocomunicaciones Móviles Celulares;Horno/Cocina a Microondas;Lavarropas;Módem;Módulo Electrónico para Automotor;Monitor;Reproductor de Video;Sistema de Audio;Tablet PC;Televisor;Unidades Evaporadoras Condensadoras;Videocámara
2018;Jul;1.016.504;124.388;5.784;0;12.661;0;0;0;20.235;575.591;38.404;2.062;0;12.448;0;0;6.871;0;218.060;0;0
2018;Ago;1.062.447;140.603;6.756;0;12.537;0;0;0;17.593;626.876;27.573;2.359;0;17.427;0;0;8.252;0;202.471;0;0
2018;Sep;810.898;133.272;0;0;10.664;0;0;0;0;508.211;21.954;1.309;0;5.058;0;0;0;0;130.430;0;0
2018;Oct;938.262;149.709;0;0;11.871;0;0;0;0;582.358;34.060;1.489;0;10.107;0;0;0;0;148.668;0;0
2018;Nov;886.652;136.147;0;0;12.605;0;0;0;0;603.565;21.366;1.302;0;7.342;440;0;0;0;103.885;0;0
2018;Dic;516.471;99.821;0;0;6.672;0;0;0;0;346.455;5.701;744;0;1.597;965;0;0;0;54.516;0;0
2019;Ene;361.916;39.834;0;0;9.064;0;0;0;0;286.668;1.110;53;0;8.364;840;0;0;0;15.983;0;0
2019;Feb;722.980;34.172;0;0;11.572;0;0;0;0;585.641;20.017;0;0;4.407;210;0;0;0;66.961;0;0
2019;Mar;778.486;22.453;0;0;11.344;0;0;0;0;640.775;3.771;0;0;1.626;32;0;0;0;98.485;0;0
2019;Apr;835.813;37.820;0;0;8.685;0;0;0;0;646.542;20.131;0;4.488;815;0;0;0;0;117.332;0;0
2019;May;983.448;40.387;0;0;7.260;0;0;0;0;712.734;27.586;0;0;196;0;0;0;0;195.285;0;0
2019;Jun;874.689;57.224;0;0;12.118;0;0;0;0;608.780;33.585;0;2.000;732;0;0;0;0;160.250;0;0
2019;Jul;1.169.246;75.926;0;0;15.086;0;0;0;0;834.349;18.088;0;0;3.120;0;0;0;0;222.677;0;0
2019;Ago;1.130.373;88.942;0;0;17.092;0;0;0;0;773.618;26.561;0;2.240;2.349;0;0;0;0;219.571;0;0
2019;Sep;841.821;104.516;0;0;10.766;0;0;0;0;538.399;11.559;0;3.552;5.179;0;0;0;0;167.850;0;0
2019;Oct;886.472;125.752;0;0;15.091;0;0;0;0;549.264;6.829;0;4.144;10.092;1.940;0;0;0;173.360;0;0
2019;Nov;838.822;93.554;0;0;15.508;0;0;0;0;539.449;17.783;0;392;7.620;32;0;0;0;164.484;0;0
2019;Dic;690.316;66.959;0;0;10.083;0;0;0;0;465.758;21.243;0;16;4.056;1.418;0;0;0;120.783;0;0
2020;Ene;564.258;28.663;0;0;10.882;0;0;0;0;379.269;12.427;0;6.824;7.336;0;0;0;0;118.857;0;0
2020;Feb;759.914;17.483;0;0;11.202;0;0;0;0;496.673;18.708;0;4.531;5.606;1.300;0;0;0;204.411;0;0
2020;Mar;440.186;9.066;0;0;5.881;0;0;0;0;275.576;20.400;0;7.168;4.710;0;0;0;0;117.385;0;0
2020;Apr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;May;310.987;18.325;0;0;4.737;0;0;0;0;178.517;6.331;0;9.552;2.190;0;0;0;0;91.335;0;0
2020;Jun;792.215;34.368;0;0;5.492;0;0;0;0;516.149;13.924;0;9.632;3.624;299;0;0;0;208.727;0;0
2020;Jul;1.131.857;69.791;0;0;9.201;0;0;0;0;758.720;20.393;0;1.352;11.392;0;0;0;0;261.008;0;0
2020;Ago;587.285;51.202;0;0;6.906;0;0;0;0;378.614;18.067;0;440;5.758;0;0;0;0;126.298;0;0
2020;Sep;1.182.031;117.649;0;0;16.253;0;0;0;0;748.618;26.508;0;32;16.276;0;0;0;0;256.695;0;0
2020;Oct;1.319.701;164.219;0;0;13.378;0;0;0;0;826.049;29.341;0;5;14.488;960;0;0;0;271.261;0;0
2020;Nov;1.546.342;195.324;0;0;14.469;0;0;0;0;1.036.065;23.412;0;8;8.270;650;0;0;0;268.144;0;0
2020;Dic;1.176.020;185.686;0;0;7.640;0;0;0;0;772.999;25.910;0;8;7.368;384;0;0;0;176.025;0;0
2021;Ene;915.482;179.938;0;0;8.928;0;0;0;0;513.866;31.190;0;0;4.932;0;0;0;0;176.628;0;0
2021;Feb;1.136.892;65.368;0;0;11.706;0;0;0;0;834.208;26.021;0;4.256;11.170;0;0;0;0;184.163;0;0
2021;Mar;1.559.395;105.597;0;0;13.851;0;0;0;0;1.079.061;61.214;0;6.008;9.466;0;0;0;0;284.198;0;0
2021;Apr;1.402.020;128.329;0;0;12.380;0;0;0;0;905.001;64.489;0;1.120;6.108;0;0;0;0;284.593;0;0
2021;May;1.075.187;78.190;0;0;7.345;0;0;0;0;705.420;33.899;775;9.056;2.808;7.326;0;0;0;230.368;0;0
2021;Jun;1.364.564;105.102;0;0;12.495;0;0;0;0;925.302;37.639;1.687;592;1.700;8.875;0;0;0;271.172;0;0
2021;Jul;1.421.617;105.725;0;0;12.705;0;0;0;0;953.309;49.018;1.290;380;3.160;18.695;0;0;0;277.335;0;0
2021;Ago;1.311.542;104.091;0;0;10.926;0;414;0;0;926.028;45.250;1.700;0;2.488;3.253;0;0;0;217.392;0;0
2021;Sep;1.324.373;114.997;0;0;13.480;0;15.402;0;0;902.458;53.875;603;0;5.179;4.183;0;0;0;214.196;0;0
2021;Oct;1.103.196;130.316;0;0;13.898;0;27.948;0;0;670.096;61.850;618;80;2.906;5.383;0;0;0;190.101;0;0
2021;Nov;1.287.282;157.496;0;0;13.304;0;19.205;0;0;822.545;55.611;862;448;758;16.322;0;0;0;200.731;0;0
2021;Dic;1.256.766;155.349;0;0;8.969;0;36.527;0;0;829.976;45.898;307;10.528;1.234;6.507;0;0;0;161.471;0;0
2022;Ene ;774.909;83.455;0;0;7.502;0;7.160;0;0;607.564;24;128;9.840;1.990;10.010;0;0;0;47.236;0;0
2022;Feb ;1.082.286;49.348;0;0;13.388;0;2.923;0;0;751.888;47.017;146;9.832;1.038;7.456;0;0;0;199.250;0;0
2022;Mar ;1.290.560;81.314;0;0;10.193;0;0;0;0;855.364;54.056;0;6.024;20;6.299;0;0;0;277.290;0;0
2022;Apr ;1.079.659;81.425;0;0;10.875;0;0;0;0;649.342;58.158;0;7.824;492;10.973;0;0;0;260.570;0;0
2022;May ;1.477.155;68.646;0;0;10.571;0;0;0;0;1.042.874;58.160;13;6.066;748;24.775;0;0;0;265.302;0;0
2022;Jun ;2.038.129;97.252;0;0;13.751;0;0;0;0;1.496.488;52.345;159;7.840;832;32.724;0;0;0;336.738;0;0
2022;Jul ;1.740.748;110.998;0;0;12.403;0;0;0;0;1.189.348;44.776;596;4.760;976;39.805;0;0;0;337.086;0;0
2022;Ago ;1.070.900;121.584;0;0;10.076;0;0;0;0;558.941;41.868;647;9.408;866;25.214;0;0;0;302.296;0;0
2022;Sep ;1.177.570;126.211;0;0;12.168;0;0;0;0;637.581;39.375;1.069;7.944;2.686;33.244;0;0;0;317.292;0;0
2022;Oct ;1.405.222;140.300;0;0;9.081;0;0;0;0;786.125;39.938;630;7.911;3.854;24.837;0;0;0;392.546;0;0
2022;Nov ;1.566.696;169.576;0;0;13.522;0;0;0;0;935.833;24.770;385;10.528;3.482;47.124;0;0;0;361.476;0;0
2022;Dic ;1.219.116;174.290;0;0;12.677;0;0;0;0;748.647;23.066;232;6.704;2.560;41.120;0;0;0;209.820;0;0
2023;Ene ;700.134;75.781;0;0;9.187;0;0;0;0;522.229;13.017;507;3.200;0;7.717;0;0;0;68.496;0;0
2023;Feb ;1.191.030;41.817;0;0;9.909;0;0;0;0;910.038;23.763;519;6.112;4.684;36.054;0;0;0;158.134;0;0
2023;Mar ;1.725.946;80.927;0;0;14.679;0;0;0;0;1.248.730;53.641;555;8.455;10.955;32.006;0;0;0;275.998;0;0
