Evolución mensual de la producción de los principales productos textiles en la Provincia de Tierra del Fuego AeIAS;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Período ;; Principales productos de la IndustriaTextil;;;;;;;;;;;;;;;;;;;;;;;;
;; Total; Floca; Hilado; Tejido;Tela Recubierta;Top;;Total;Tejido;Tela Recubierta;;;;;;;;;;;;;;;
;; Kilos;;;;;;;;metro lineal;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dic;1.523.007;40.301;214.887;988.646;25.228;253.945;;800.341;248.605;551.736;;;;;;;;;;;;;;;
2017;Ene;1.710.275;-;106.878;1.373.413;22.643;207.341;;1.059.823;439.380;620.443;;;;;;;;;;;;;;;
;Feb;2.590.672;24.416;293.846;1.802.199;-;470.212;;1.426.880;632.830;794.050;;;;;;;;;;;;;;;
;Mar;3.010.019;10.863;456.211;1.977.484;-;565.462;;1.019.546;512.743;506.803;;;;;;;;;;;;;;;
;Apr;2.636.862;4.546;421.560;1.735.284;59;475.413;;952.899;502.868;450.031;;;;;;;;;;;;;;;
;May;2.799.121;5.003;445.696;1.782.163;24.657;541.603;;2.118.865;1.362.229;756.636;;;;;;;;;;;;;;;
;Jun;2.980.543;28.714;425.372;1.945.305;24.881;556.272;;1.374.140;728.204;645.936;;;;;;;;;;;;;;;
;Jul;3.242.415;17.069;429.060;2.182.756;44.410;569.122;;1.046.228;706.949;339.279;;;;;;;;;;;;;;;
;Ago;3.450.068;40.802;480.871;2.350.533;-;577.863;;1.322.284;526.448;795.836;;;;;;;;;;;;;;;
;Sep;2.897.709;24.744;437.382;1.885.578;63.146;486.859;;1.618.864;1.082.910;535.954;;;;;;;;;;;;;;;
;Oct;2.825.190;24.029;438.373;1.949.611;9.063;404.114;;1.541.042;1.162.796;378.246;;;;;;;;;;;;;;;
;Nov;3.166.027;30.350;443.942;2.223.634;20.751;447.350;;702.450;244.330;458.120;;;;;;;;;;;;;;;
;Dic;1.862.277;27.179;249.525;1.232.765;53.341;299.468;;919.741;589.283;330.458;;;;;;;;;;;;;;;
2018;Ene;2.227.092;762;208.655;1.864.592;29.835;123.249;;1.186.376;669.628;516.748;;;;;;;;;;;;;;;
;Feb;2.755.876;1.374;418.400;1.913.128;20.763;402.212;;836.399;380.890;455.509;;;;;;;;;;;;;;;
;Mar;3.013.315;1.484;465.380;2.103.506;-;442.946;;1.626.815;986.888;639.927;;;;;;;;;;;;;;;
;Apr;2.838.847;3.413;447.898;1.972.142;29;415.366;;949.565;514.565;435.000;;;;;;;;;;;;;;;
;May;2.915.634;11.649;459.280;1.924.507;50.071;470.127;;857.310;523.872;333.438;;;;;;;;;;;;;;;
;Jun;2.260.029;18.343;361.655;1.533.667;-;346.365;;1.329.457;737.042;592.415;;;;;;;;;;;;;;;
;Jul;2.569.102;1.862;420.628;1.705.688;34.296;406.628;;1.052.610;514.417;538.193;;;;;;;;;;;;;;;
;Ago;2.316.587;1.207;202.044;1.737.804;35.523;340.009;;1.258.689;715.181;543.508;;;;;;;;;;;;;;;
;Sep;1.816.070;424;269.103;1.324.227;-;222.316;;982.373;864.824;117.549;;;;;;;;;;;;;;;
;Oct;1.858.234;645;337.973;1.358.075;-;161.542;;796.826;501.280;295.546;;;;;;;;;;;;;;;
;Nov;1.676.250;626;267.815;1.232.884;24.941;149.984;;609.341;266.800;342.541;;;;;;;;;;;;;;;
;Dic;879.735;-;142.353;661.018;-;76.364;;450.042;137.874;312.168;;;;;;;;;;;;;;;
2019;Ene;836.480;-;136.487;579.686;20.084;100.224;;831.321;280.216;551.105;;;;;;;;;;;;;;;
